City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
243,Hirara,JP,2022-10-18 00:30:41,24.8,125.2833,73.26,88,75,32.21
244,Kabompo,ZM,2022-10-18 00:30:41,-13.5927,24.2008,65.93,51,88,3.38
245,Srandakan,ID,2022-10-18 00:30:41,-7.9386,110.2506,80.06,80,100,8.19
246,Pinega,RU,2022-10-18 00:30:42,64.7001,43.3936,41.67,90,100,12.39
247,Boysun,UZ,2022-10-18 00:30:42,38.2061,67.1986,56.88,52,100,3.89
248,Vardo,NO,2022-10-18 00:28:12,70.3705,31.1107,37.38,81,59,14.97
249,Kavieng,PG,2022-10-18 00:30:42,-2.5744,150.7967,83.14,75,80,15.14
250,Tulum,MX,2022-10-18 00:30:43,20.2167,-87.4667,78.06,85,93,4.29
251,Port Macquarie,AU,2022-10-18 00:30:43,-31.4333,152.9167,71.89,74,98,11.43
252,Togul,RU,2022-10-18 00:30:43,53.465,85.9128,40.08,88,100,7.85
253,Mumbwa,ZM,2022-10-18 00:30:44,-14.9783,27.0619,68.95,38,1,7.11
254,Sassandra,CI,2022-10-18 00:30:44,4.95,-6.0833,74.84,92,69,2.95
255,Lima,PE,2022-10-18 00:28:26,-12.0432,-77.0282,60.91,81,100,12.66
256,Vangaindrano,MG,2022-10-18 00:30:44,-23.35,47.6,69.76,78,62,2.98
257,Pucallpa,PE,2022-10-18 00:30:45,-8.3791,-74.5539,78.84,89,75,2.3
258,Nouakchott,MR,2022-10-18 00:30:45,18.0858,-15.9785,82.33,70,96,10.87
259,San Patricio,US,2022-10-18 00:30:45,28.017,-97.5169,71.89,54,14,11.61
260,Oblivskaya,RU,2022-10-18 00:30:46,48.5362,42.5014,41.58,62,14,4.97
261,Acapulco,MX,2022-10-18 00:26:05,16.8634,-99.8901,84.02,79,100,2.3
262,Prince Rupert,CA,2022-10-18 00:30:46,54.3161,-130.3201,55.49,94,100,32.21
263,Cockburn Town,TC,2022-10-18 00:26:25,21.4612,-71.1419,81.68,74,0,8.95
264,Asau,RO,2022-10-18 00:30:47,46.4333,26.4,38.32,74,6,3.76
265,Borazjan,IR,2022-10-18 00:30:47,29.2666,51.2159,79.32,36,11,1.43
266,Alofi,NU,2022-10-18 00:30:47,-19.0595,-169.9187,82.29,74,75,12.66
267,Talnakh,RU,2022-10-18 00:30:48,69.4865,88.3972,31.21,97,100,4.14
268,Salinas,US,2022-10-18 00:30:47,36.6777,-121.6555,76.48,63,0,11.5
269,Warman,CA,2022-10-18 00:30:07,52.3168,-106.5679,55.31,30,0,11.5
270,Kenai,US,2022-10-18 00:31:49,60.5544,-151.2583,49.08,86,20,0.0
271,Anshun,CN,2022-10-18 00:31:49,26.25,105.9333,55.47,57,7,7.27
272,Nanortalik,GL,2022-10-18 00:29:20,60.1432,-45.2371,36.81,76,100,6.6
